,sl_no,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,total_cases_per_1m_pop,total_deaths_per_1m_pop,total_tests,total_tests_per_1m_pop,population
81,74.0,Denmark,13634,,614.0,,12485.0,,535,3.0,2353.0,106.0,1491115.0,257362.0
82,75.0,Sudan,11496,,725.0,,6001.0,,4770,,262.0,17.0,401.0,9.0
83,76.0,Palestine,11284,,80.0,,4833.0,,6371,,2208.0,16.0,155355.0,30404.0
84,77.0,Bulgaria,11155,,368.0,,5971.0,,4816,40.0,1606.0,53.0,254824.0,36697.0
85,78.0,Bosnia and Herzegovina,11127,,316.0,,5441.0,,5370,,3393.0,96.0,135760.0,41402.0
86,79.0,North Macedonia,10503,,476.0,,5931.0,,4096,55.0,5041.0,228.0,97550.0,46823.0
87,80.0,Madagascar,10317,,99.0,,7117.0,,3101,102.0,372.0,4.0,39864.0,1437.0
88,81.0,Senegal,9961,,200.0,,6655.0,,3106,50.0,594.0,12.0,106267.0,6335.0
89,82.0,Norway,9172,,255.0,,8752.0,,165,2.0,1691.0,47.0,435631.0,80307.0
90,83.0,Malaysia,8956,,124.0,,8612.0,,220,2.0,276.0,4.0,955133.0,29482.0
91,84.0,DRC,8931,,210.0,,6095.0,,2626,,100.0,2.0,,
92,85.0,French Guiana,7647,,43.0,,6176.0,,1428,30.0,25557.0,144.0,38199.0,127664.0
93,86.0,Finland,7414,,329.0,,6950.0,,135,,1338.0,59.0,349097.0,62998.0
94,87.0,Haiti,7378,+7,159.0,1.0,4467.0,,2752,,646.0,14.0,17539.0,1537.0
95,88.0,Gabon,7352,,49.0,,4943.0,,2360,11.0,3298.0,22.0,75222.0,33741.0
96,89.0,Tajikistan,7320,,60.0,,6103.0,,1157,,766.0,6.0,,
97,90.0,Guinea,7183,,46.0,,6404.0,,733,24.0,546.0,3.0,14407.0,1095.0
98,91.0,Luxembourg,6533,,114.0,,4959.0,,1460,5.0,10424.0,182.0,410443.0,654897.0
99,92.0,Mauritania,6273,,156.0,,4776.0,,1341,3.0,1347.0,33.0,57253.0,12291.0
100,93.0,Zambia,5249,,146.0,,3285.0,,1818,18.0,285.0,8.0,79269.0,4304.0
101,94.0,Albania,5105,,150.0,,2830.0,,2125,17.0,1774.0,52.0,34477.0,11981.0
102,95.0,Djibouti,5081,,58.0,,4999.0,,24,,5137.0,59.0,56721.0,57348.0
103,96.0,Croatia,4993,,141.0,,4099.0,,753,8.0,1217.0,34.0,115722.0,28203.0
104,97.0,Paraguay,4866,,46.0,,3169.0,,1651,8.0,682.0,6.0,122829.0,17205.0
105,98.0,CAR,4605,,59.0,,1574.0,,2972,2.0,952.0,12.0,29431.0,6086.0
106,99.0,Hungary,4465,,596.0,,3339.0,,530,6.0,462.0,62.0,333446.0,34524.0
107,100.0,Greece,4336,,203.0,,1374.0,,2759,8.0,416.0,19.0,511429.0,49087.0
108,101.0,Lebanon,4205,,55.0,,1753.0,,2397,29.0,616.0,8.0,286340.0,41968.0
109,102.0,Malawi,3738,,103.0,,1728.0,,1907,4.0,195.0,5.0,27804.0,1451.0
110,103.0,Nicaragua,3672,,116.0,,2492.0,,1064,,554.0,17.0,,
111,104.0,Maldives,3567,,15.0,,2554.0,,998,12.0,6590.0,28.0,76937.0,142150.0
112,105.0,Thailand,3304,6.0,58.0,,3111.0,,135,1.0,47.0,0.0,717814.0,10282.0
113,106.0,Libya,3222,,76.0,,596.0,,2550,,468.0,11.0,50034.0,7274.0
114,107.0,Somalia,3212,,93.0,,1562.0,,1557,2.0,202.0,6.0,,
115,108.0,Congo,3200,,54.0,,829.0,,2317,,579.0,10.0,,
116,109.0,Equatorial Guinea,3071,,51.0,,842.0,,2178,,2184.0,36.0,16000.0,11380.0
117,110.0,Montenegro,3016,,47.0,,931.0,,2038,7.0,4802.0,75.0,34818.0,55436.0
118,111.0,Hong Kong,3003,,24.0,,1591.0,,1388,39.0,400.0,3.0,524969.0,69980.0
119,112.0,Mayotte,2905,,39.0,,2672.0,,194,1.0,10630.0,143.0,13000.0,47571.0
120,113.0,Zimbabwe,2879,,41.0,,887.0,,1951,,193.0,3.0,126708.0,8516.0
121,114.0,Sri Lanka,2810,,11.0,,2317.0,,482,1.0,131.0,0.0,155540.0,7261.0
122,115.0,Cuba,2588,,87.0,,2353.0,,148,1.0,228.0,8.0,256996.0,22691.0
123,116.0,Eswatini,2551,,40.0,,1070.0,,1441,5.0,2197.0,34.0,20784.0,17900.0
124,117.0,Mali,2521,,124.0,,1927.0,,470,,124.0,6.0,22011.0,1085.0
125,118.0,Cabo Verde,2373,,23.0,,1694.0,,656,,4265.0,41.0,41634.0,74821.0
126,119.0,South Sudan,2322,,46.0,,1175.0,,1101,,207.0,4.0,12044.0,1075.0
127,120.0,Slovakia,2245,,28.0,,1660.0,,557,2.0,411.0,5.0,257535.0,47169.0
128,121.0,Slovenia,2115,,117.0,,1761.0,,237,3.0,1017.0,56.0,129733.0,62403.0
129,122.0,Lithuania,2043,,80.0,,1643.0,,320,6.0,751.0,29.0,511462.0,188110.0
130,123.0,Estonia,2042,,69.0,,1926.0,,47,1.0,1539.0,52.0,117892.0,88867.0
131,124.0,Namibia,1986,,9.0,,104.0,,1873,24.0,781.0,4.0,24852.0,9768.0
132,125.0,Rwanda,1963,,5.0,,1036.0,,922,,151.0,0.0,255959.0,19728.0
133,126.0,Guinea-Bissau,1954,,26.0,,803.0,,1125,5.0,991.0,13.0,1500.0,761.0
134,127.0,Iceland,1861,,10.0,,1823.0,,28,,5451.0,29.0,128907.0,377565.0
135,128.0,Benin,1805,,36.0,,1036.0,,733,1.0,149.0,3.0,85863.0,7070.0
136,129.0,Sierra Leone,1803,,67.0,,1355.0,,381,,226.0,8.0,,
137,130.0,Mozambique,1748,,11.0,,616.0,,1121,,56.0,0.0,55211.0,1763.0
138,131.0,Yemen,1711,,485.0,,849.0,,377,,57.0,16.0,120.0,4.0
139,132.0,Suriname,1607,,26.0,,1003.0,,578,11.0,2737.0,44.0,1619.0,2758.0
140,133.0,New Zealand,1560,1.0,22.0,,1514.0,,24,,312.0,4.0,462590.0,92479.0
